SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
2194124,TCGA-HT-7877-01,KRAS,normal,       0.742,545
2194406,TCGA-FG-5964-01,KRAS,normal,      -1.162,545
1899702,TCGA-A8-A08I-01,KRAS,normal,      -0.285,414
1338068,TCGA-27-2524-01,KRAS,normal,      -1.974,329
1900149,TCGA-E2-A15R-01,KRAS,normal,      -0.414,414
1779929,TCGA-BP-4998-01,KRAS,normal,       0.276,416
2386257,TCGA-E1-A7YK-01,KRAS,normal,      -1.327,545
1783335,TCGA-AP-A059-01,KRAS,normal,      -0.128,419
2121520,TCGA-D3-A2JK-06,KRAS,normal,      -1.950,540
1899817,TCGA-AR-A1AJ-01,KRAS,normal,      -0.477,414
1338062,TCGA-27-1837-01,KRAS,normal,      -0.670,329
1651312,TCGA-F4-6855-01,KRAS,normal,      -1.146,376
1651046,TCGA-AA-3844-01,KRAS,normal,       1.376,376
2193429,TCGA-A6-2681-01,KRAS,normal,      -1.242,376
1900093,TCGA-D8-A27H-01,KRAS,normal,      -0.167,414
2339435,TCGA-X4-A8KS-01,KRAS,normal,      -1.110,435
2270141,TCGA-DX-A3UE-01,KRAS,normal,      -1.396,635
2339938,TCGA-XK-AAJA-01,KRAS,over,       2.031,435
2457281,TCGA-DX-AB36-01,KRAS,normal,       0.075,635
1915887,TCGA-HC-7213-01,KRAS,normal,       1.447,435
2339552,TCGA-C5-A1ML-01,KRAS,normal,       0.590,415
1900169,TCGA-E2-A1IO-01,KRAS,normal,      -0.254,414
2194867,TCGA-62-A472-01,KRAS,normal,      -0.173,417
1650426,TCGA-AB-2934-03,KRAS,normal,      -1.000,377
1899768,TCGA-AN-A0XU-01,KRAS,normal,       0.516,414
2193258,TCGA-FD-A5BS-01,KRAS,normal,      -0.603,413
2187769,TCGA-E2-A56Z-01,KRAS,normal,      -0.184,414
1783528,TCGA-D1-A17H-01,KRAS,normal,      -0.963,419
2270040,TCGA-NA-A5I1-01,KRAS,over,       4.022,636
2120483,TCGA-BP-4774-01,KRAS,normal,      -0.192,416
2122166,TCGA-FY-A3R7-01,KRAS,normal,       0.256,542
2193599,TCGA-CR-6470-01,KRAS,normal,       0.406,627
2339742,TCGA-WE-A8K6-06,KRAS,normal,      -1.079,540
1651115,TCGA-AA-A01I-01,KRAS,normal,       1.913,376
1898093,TCGA-DK-A1AA-01,KRAS,normal,       0.656,413
2385708,TCGA-FB-AAPU-01,KRAS,normal,       1.514,629
1900176,TCGA-E2-A1LB-01,KRAS,normal,      -0.816,414
2385697,TCGA-3A-A9IJ-01,KRAS,normal,      -1.970,629
1474992,TCGA-25-1632-01,KRAS,normal,      -0.754,331
1650493,TCGA-AB-3009-03,KRAS,normal,       0.213,377
