2   hsa:1630       5X83        
3   hsa:836        2XYG          
4   hsa:842        1NW9_B      
5   hsa:836        2XYG           
6   hsa:999        2O72          
7   hsa:1499       4DJS_A      
8   hsa:51384      NA
8   hsa:54361      NA
8   hsa:7471       NA
8   hsa:7472       NA
8   hsa:7473       NA
8   hsa:7474       NA
8   hsa:7475       NA
8   hsa:7476       NA
8   hsa:7477       NA
8   hsa:7478       NA
8   hsa:7479       NA
8   hsa:7480       NA
8   hsa:7481       NA
8   hsa:7482       NA
8   hsa:7483       NA
8   hsa:7484       NA
8   hsa:80326      NA
8   hsa:81029      NA
8   hsa:89780      NA
9   hsa:1495       4IGG        
9   hsa:1496       NA
9   hsa:29119      NA
10  hsa:1499       4DJS_A      
11  hsa:3688       4WJK_B        
12  hsa:1855       NA
12  hsa:1856       5LNP           
12  hsa:1857       NA
13  hsa:10319      NA
13  hsa:1282       1LI1_ABDE     
13  hsa:1284       1LI1_CF        
13  hsa:1286       NA
13  hsa:1287       NA
13  hsa:1288       NA
13  hsa:22798      NA
13  hsa:2335       2CG6            
13  hsa:284217     NA
13  hsa:3908       4YEP            
13  hsa:3909       NA
13  hsa:3910       NA
13  hsa:3911       5XAU_AD        
13  hsa:3912       5XAU_BE            
13  hsa:3913       NA
13  hsa:3914       NA
13  hsa:3915       5XAU_CF           
13  hsa:3918       NA
14  hsa:3655       NA
14  hsa:3673       5HJ2                          
14  hsa:3674       3T3P_AC           
14  hsa:3675       NA
14  hsa:3685       5FFG_A             
15  hsa:5747       1MP8            
16  hsa:5728       1D5R            
17  hsa:11211      NA
17  hsa:2535       NA
17  hsa:7855       5URY_AB         
17  hsa:7976       NA
17  hsa:8321       NA
17  hsa:8322       5CM4_AB         
17  hsa:8323       NA
17  hsa:8324       5T44_AB         
17  hsa:8325       5UN6_ABCD   
17  hsa:8326       NA
18  hsa:26060      2Q12            
19  hsa:25         4JJB            
19  hsa:613        1K1F            
20  hsa:1398       5UL6_A          
20  hsa:1399       2LQN_model1 
21  hsa:23624      3VRP_A          
21  hsa:867        1FBV_A      
21  hsa:868        3ZNI_AEIM       
22  hsa:1398       5UL6_A          
22  hsa:1399       2LQN_model1 
23  hsa:5290       3HHM_A          
23  hsa:5291       NA
23  hsa:5293       5UBT_A          
23  hsa:5295       5AUL_A       
23  hsa:5296       3O5Z            
23  hsa:8503       NA
24  hsa:6776       NA
24  hsa:6777       NA
25  hsa:3716       4L00           
26  hsa:1956       4ZSE            
27  hsa:2064       5MY6_A          
28  hsa:5156       5K5X            
28  hsa:5159       3MJG            
29  hsa:3480       1P40        
30  hsa:3815       2E9W_AB     
31  hsa:2322       3QS9_EFGH   
32  hsa:4233       1R1W            
33  hsa:2260       1FGK            
33  hsa:2261       3GRW_A          
33  hsa:2263       3B2T            
34  hsa:10342      NA
34  hsa:4914       4FOI            
34  hsa:7170       NA
34  hsa:7175       5TO7            
35  hsa:7039       2TGF        
36  hsa:1950       2KV4_model1 
37  hsa:3082       1SI5            
38  hsa:5154       3MJK            
38  hsa:5155       4HQX_A          
39  hsa:3479       2GF1        
40  hsa:367        4OHA_A          
41  hsa:3320       5J2V            
41  hsa:3326       3PRY            
41  hsa:7184       4NH9        
42  hsa:367        4OHA_A          
43  hsa:367        4OHA_A          
44  hsa:2932       4NM5_A          
45  hsa:8312       4NM5_B          
45  hsa:8313       NA
46  hsa:10297      NA
46  hsa:324        5IZA_A         
47  hsa:1147       5EBZ        
47  hsa:3551       4KIK        
47  hsa:8517       3FX0        
48  hsa:2475       5FLC        
49  hsa:842        1NW9_B      
50  hsa:572        NA
51  hsa:4193       2AXI_A          
52  hsa:1027       5UQ3_C      
53  hsa:598        4A1U_A      
54  hsa:6774       NA
55  hsa:6772       3WWT_A      
56  hsa:2885       3WA4_A      
57  hsa:6654       1BKD_S      
57  hsa:6655       NA
58  hsa:3265       3TGP        
58  hsa:3845       5O2T_A      
58  hsa:4893       5UHV           
59  hsa:369        1WXM_model1 
59  hsa:5894       1C1Y_B      
59  hsa:673        3NY5        
60  hsa:5604       3W8Q        
60  hsa:5605       1S9I_A      
61  hsa:83593      4OH8_B      
62  hsa:11186      NA
63  hsa:4792       1IKN_AC     
64  hsa:4790       1NFI_ABCD   
64  hsa:4791       1A3Q_AB     
64  hsa:5970       1NFI_ABCD   
65  hsa:6789       3COM        
66  hsa:595        2W9F_A      
67  hsa:5979       2IVS        
67  hsa:8030       NA
67  hsa:8031       NA
68  hsa:11186      NA
69  hsa:5335       1HSQ        
69  hsa:5336       2W2W        
70  hsa:5900       2B3A_model1        
71  hsa:5898       2A9K_A      
71  hsa:5899       NA       
72  hsa:387        4XH9_BE     
72  hsa:5879       5O33_A       
72  hsa:5880       2OV2_AFBCGDEH 
72  hsa:5881       2QME_A        
73  hsa:10928      NA
74  hsa:5337       NA
75  hsa:5599       2XRW_A      
75  hsa:5601       3E7O        
75  hsa:5602       2B1P        
76  hsa:5879       5O33_A      
76  hsa:5880       2W2X_AB          
76  hsa:5881       2QME_A      
76  hsa:998        2KB0_model1 
77  hsa:3725       5T01_AB     
78  hsa:2353       1S9K_DE     
79  hsa:4609       1NKP_AD     
80  hsa:7157       3D06        
81  hsa:51176      NA
81  hsa:6932       NA
81  hsa:6934       1JDH_B      
81  hsa:83439      NA
82  hsa:5578       4DNL        
82  hsa:5579       NA
82  hsa:5582       2UZP        
97  hsa:6469       3M1N        
98  hsa:5727       NA
99  hsa:6608       NA
100 hsa:51684      4KM9        
101 hsa:2271       5D6B        
102 hsa:112398     NA 
102 hsa:112399     NA
102 hsa:54583      3OUI        
103 hsa:6923       1LM8_B      
104 hsa:6921       1LM8_C        
105 hsa:7428       1LM8_V      
106 hsa:8453       5N4W_A      
107 hsa:9978       2LGV_model1 
108 hsa:2034       1P97_model1 
108 hsa:3091       1L3E_model1 
109 hsa:405        1X0O_A      
109 hsa:9915       NA
110 hsa:1387       4OUF        
110 hsa:2033       3IO2        
111 hsa:54205      3ZCF        
112 hsa:675        1N0W_B      
113 hsa:5888       1B22_model1 
114 hsa:4292       3RBN               
115 hsa:4436       3THZ_A      
116 hsa:7040       5VQP        
116 hsa:7042       2TGI        
116 hsa:7043       1TGK        
117 hsa:7046       5E8S        
118 hsa:7048       1M9Z        
119 hsa:4087       1KHX        
119 hsa:4088       1MJS        
120 hsa:4089       1JGS        
121 hsa:581        4ZIE_A      
122 hsa:4437       3THX_B      
123 hsa:7048       1M9Z        
124 hsa:2956       2GFU_model1 
125 hsa:2122       NA          
126 hsa:2122       NA          
126 hsa:861        1E50_ACEGQR 
127 hsa:1487       1MX3        
127 hsa:1488       NA          
128 hsa:3065       4BKX_B      
128 hsa:3066       NA 
129 hsa:2950       1EOH        
141 hsa:5468       3PRG        
141 hsa:7849       2K27_model1 
142 hsa:6256       1RXR_model1 
142 hsa:6257       1UHL_A      
142 hsa:6258       2GL8        
143 hsa:5468       3PRG        
144 hsa:5915       1HRA_model1 
145 hsa:6256       1RXR_model1 
145 hsa:6257       1UHL_A      
145 hsa:6258       2GL8        
146 hsa:51176      NA
146 hsa:6932       NA
146 hsa:6934       1JDH_B      
146 hsa:83439      NA
147 hsa:3728       3IFQ_AB     
148 hsa:5914       4DQM_AC     
148 hsa:7704       1CS3        
149 hsa:5371       2MVW_model1 
149 hsa:5914       4DQM_AC     
150 hsa:861        1E50_ACEGQR 
150 hsa:862        1WQ6        
151 hsa:6688       NA
152 hsa:6688       NA
153 hsa:1050       NA
154 hsa:1050       NA
155 hsa:861        1E50_ACEGQR 
156 hsa:7157       3D06        
157 hsa:4193       1Z1M_model1 
158 hsa:4286       4C7N_A      
159 hsa:4609       1NKP_AD     
160 hsa:4149       1NKP_BE     
161 hsa:9063       4FO9        
162 hsa:595        2W9F_A      
163 hsa:1026       5E0U_DEF    
164 hsa:1019       2W96_B      
164 hsa:1021       1BLX_A      
165 hsa:5925       1GH6_B      
166 hsa:1869       2AZE_B      
166 hsa:1870       NA
166 hsa:1871       NA
167 hsa:1017       4EK3        
168 hsa:898        1W98_B      
168 hsa:9134       NA
