2   hsa:1630       NA 5X83        
3   hsa:836        NA 2XYG          
4   hsa:842        NA 1NW9_B      
5   hsa:836        NA 2XYG           
6   hsa:999        NA 2O72          
7   hsa:1499       NA 4DJS_A      
8   hsa:51384      NA
8   hsa:54361      NA
8   hsa:7471       NA
8   hsa:7472       NA
8   hsa:7473       NA
8   hsa:7474       NA
8   hsa:7475       NA
8   hsa:7476       NA
8   hsa:7477       NA
8   hsa:7478       NA
8   hsa:7479       NA
8   hsa:7480       NA
8   hsa:7481       NA
8   hsa:7482       NA
8   hsa:7483       NA
8   hsa:7484       NA
8   hsa:80326      NA
8   hsa:81029      NA
8   hsa:89780      NA
9   hsa:1495       NA 4IGG        
9   hsa:1496       NA
9   hsa:29119      NA
10  hsa:1499       NA 4DJS_A      
11  hsa:3688       NA 4WJK_B        
12  hsa:1855       NA
12  hsa:1856       NA 5LNP           
12  hsa:1857       NA
13  hsa:10319      NA
13  hsa:1282       NA 1LI1_ABDE     
13  hsa:1284       NA 1LI1_CF        
13  hsa:1286       NA
13  hsa:1287       NA
13  hsa:1288       NA
13  hsa:22798      NA
13  hsa:2335       NA 2CG6            
13  hsa:284217     NA
13  hsa:3908       NA 4YEP            
13  hsa:3909       NA
13  hsa:3910       NA
13  hsa:3911       NA 5XAU_AD        
13  hsa:3912       NA 5XAU_BE            
13  hsa:3913       NA
13  hsa:3914       NA
13  hsa:3915       NA 5XAU_CF           
13  hsa:3918       NA
14  hsa:3655       NA
14  hsa:3673       NA 5HJ2            
14  hsa:3674       NA 3T3P_AC           
14  hsa:3675       NA
14  hsa:3685       NA 5FFG_A             
15  hsa:5747       NA 1MP8            
16  hsa:5728       NA 1D5R            
17  hsa:11211      NA
17  hsa:2535       NA
17  hsa:7855       NA 5URY_AB         
17  hsa:7976       NA
17  hsa:8321       NA
17  hsa:8322       NA 5CM4_AB         
17  hsa:8323       NA
17  hsa:8324       NA 5T44_AB         
17  hsa:8325       NA 5UN6_ABCD   
17  hsa:8326       NA
18  hsa:26060      NA 2Q12            
19  hsa:25         NA 4JJB            
19  hsa:613        NA 1K1F            
20  hsa:1398       NA 5UL6_A          
20  hsa:1399       NA 2LQN_model1 
21  hsa:23624      NA 3VRP_A          
21  hsa:867        NA 1FBV_A      
21  hsa:868        NA 3ZNI_AEIM       
